processed_tweets,brand,emotions
"['3g', 'iphone', '3', 'hr', 'tweeting', 'dead', 'need', 'upgrade', 'plugin', 'station']",Apple,Negative
"['know', 'awesome', 'ipad', 'iphone', 'app', 'likely', 'appreciate', 'design', 'also', 'giving', 'free', 't']",Apple,Positive
"['wait', '2', 'also', 'sale']",Apple,Positive
"['hope', 'festival', 'crashy', 'iphone', 'app']",Apple,Negative
"['great', 'stuff', 'fri', 'marissa', 'mayer', 'google', 'tim', 'tech', 'book', 'conference', 'matt', 'mullenweg', 'wordpress']",Google,Positive
"['new', 'ipad', 'apps', 'communication', 'showcased', 'conference']",Apple,Neutral
"['starting', 'around', 'corner', 'hop', 'skip', 'jump', 'good', 'time', 'fan']",Google,Positive
"['beautifully', 'smart', 'simple', 'idea', 'rt', 'wrote', 'ipad', 'app']",Apple,Positive
"['counting', 'day', 'plus', 'strong', 'canadian', 'dollar', 'mean', 'stock', 'apple', 'gear']",Apple,Positive
"['excited', 'meet', 'show', 'sprint', 'galaxy', 'still', 'running', 'android']",Google,Positive
"['find', 'start', 'impromptu', 'party', 'wait', 'til', 'android', 'app', 'come']",Google,Positive
"['foursquare', 'ups', 'game', 'time', 'still', 'prefer', 'far', 'best', 'looking', 'android', 'app', 'date']",Google,Positive
"['gotta', 'love', 'google', 'calendar', 'featuring', 'top', 'party', 'show', 'case', 'check', 'rt', 'via']",Google,Positive
"['great', 'ipad', 'app']",Apple,Positive
"['haha', 'awesomely', 'rad', 'ipad', 'app']",Apple,Positive
"['holler', 'gram', 'ipad', 'itunes', 'app', 'store', 'via']",Apple,Neutral
"['noticed', 'dst', 'coming', 'weekend', 'many', 'iphone', 'user', 'hour', 'late', 'sxsw', 'come', 'sunday', 'morning']",Apple,Negative
"['added', 'flight', 'matching', 'people', 'plane', 'airport', 'also', 'downloaded', 'iphone', 'app', 'nicely', 'done']",Apple,Positive
"['must', 'app', 'rt', 'lovely', 'review', 'forbes', 'sxsw', 'ipad', 'app', 'holler', 'gram']",Apple,Positive
"['need', 'buy', 'ipad', '2', 'austin', 'sure', 'need', 'q', 'austin', 'apple', 'store']",Apple,Positive
"['oh', 'god', 'app', 'ipad', 'pure', 'unadulterated', 'awesome', 'easier', 'browse', 'event', 'ipad', 'website']",Apple,Positive
"['okay', 'really', 'yay', 'new', 'app', '11', 'kthxbai']",Google,Positive
"['photo', 'installed', 'iphone', 'app', 'really', 'nice']",Apple,Positive
"['really', 'enjoying', 'change', 'gowalla', 'android', 'looking', 'forward', 'seeing', 'else', 'foursquare', 'sleeve']",Google,Positive
"['rt', 'looking', 'forward', 'pre', 'party', 'wed', 'hoping', 'win', 'resulting', 'shameless', 'promotion']",Apple,Positive
"['rt', 'haha', 'awesomely', 'rad', 'ipad', 'app', 'via']",Apple,Positive
"['someone', 'started', 'group', 'google', 'group', 'pre', 'great', 'idea']",Google,Positive
"['new', 'look', 'like', 'going', 'rock', 'update', 'iphone', 'android', 'push', 'tonight']",Apple,Positive
"['right', '3', 'app', 'sweeet', 'nice', 'job', 'team']",Google,Positive
"['smart', 'ipad', 'app', 'may', 'leave', 'vuvuzela', 'home']",Apple,Positive
"['must', 'app', 'ipad', 'going']",Apple,Positive
"['attn', 'frineds', 'register', 'see', 'cobra', 'iradar', 'android', 'link']",Google,Neutral
"['anyone', 'want', 'sell', 'old', 'ipad']",Apple,Neutral
"['anyone', 'bought', 'new', 'ipad', 'want', 'sell', 'older', 'ipad']",Apple,Neutral
"['oooh', 'rt', 'google', 'launch', 'major', 'new', 'social', 'network', 'called', 'circle', 'possibly', 'today', 'link']",Google,Neutral
"['best', 'rt', 'ha', 'first', 'line', 'apple', 'store', 'event', 'planner']",Apple,Positive
"['spin', 'play', 'new', 'concept', 'music', 'discovery', 'ipad', 'link']",Apple,Neutral
"['false', 'alarm', 'google', 'circle', 'coming', 'ûòand', 'probably', 'ever', 'link']",Google,Negative
"['vatornews', 'google', 'apple', 'force', 'print', 'medium', 'evolve', 'link']",Google,Neutral
"['great', 'weather', 'greet', 'still', 'need', 'sweater', 'night', 'apple', 'putting', 'flash', 'store', 'downtown', 'sell', 'ipad', '2']",Apple,Positive
"['hootsuite', 'hootsuite', 'mobile', 'update', 'iphone', 'blackberry', 'android', 'whether', 'ûªre', 'getting', 'friend', 'link']",Apple,Neutral
"['hey', 'long', 'think', 'take', 'u', 'make', 'iphone', 'case', 'answer', 'using', 'ûªll', 'make', 'one']",Apple,Neutral
"['mashable', 'ipad', '2', 'take', 'sxsw', 'video', 'link']",Apple,Neutral
"['rt', 'new', 'app', 'store', 'includes', 'uberguide', 'sponsored', 'link']",Apple,Neutral
"['û', 'ûª', 'open', 'instant', 'access', 'waited', 'get', 'one', 'link']",Apple,Positive
"['û', 'hobo', 'ûª', 'drafthouse', 'launch', 'û', 'hobo', 'shotgun', 'ûª', 'iphone', 'app', 'link']",Apple,Positive
"['hooray', 'rt', 'ûï', 'apple', 'opening', 'store', 'austin', 'link']",Apple,Positive
"['orly', 'ûï', 'google', 'set', 'launch', 'new', 'social', 'network', 'today', 'û']",Google,Neutral
"['wooo', 'ûï', 'apple', 'store', 'downtown', 'austin', 'open', 'til', 'midnight', 'û']",Apple,Positive
"['khoi', 'vinh', 'say', 'conde', 'headlong', 'rush', 'ipad', 'publishing', 'fundamental', 'misunderstanding', 'platform']",Apple,Neutral
